Contest, Problema, Código, En contest, En upsolving
Educational Codeforces Round 159 (Div. 2), E, Trie, , Creado
Educational Codeforces Round 159 (Div. 2), F, LCA_PathQueries, , Creado (Usando el de Pietro)
Educational Codeforces Round 160 (Div. 2), E, Min-cost max-flow, , Usado
Educational Codeforces Round 160 (Div. 2), D, Sparse table (RMQ), , Usado
Educational Codeforces Round 160 (Div. 2), D, Modular arithmetic, , Usado
Good Bye 2023, A, Factorización, Usado (Innecesario),
Good Bye 2023, B, Pollard-rho, Usado (Innecesario),
Good Bye 2023, E, DFS recursivo inline, , Creado
Good Bye 2023, F, Biconnected components, , Usado
Good Bye 2023, H1, Modular arithmetic, , Usado
Good Bye 2023, H2, Modular arithmetic, , Usado
AtCoder Regular Contest 170, B, Segment tree, Usado,
AtCoder Regular Contest 170, B, Binary search inline, Usado,
AtCoder Regular Contest 170, C, Modular arithmetic, , Usado
Hello 2024, F1, Lazy segment tree, , Usado
Hello 2024, F2, Segment tree, , Usado
Educational Codeforces Round 161 (Rated for Div. 2), D, Linked List, , Codeado (inline)
Educational Codeforces Round 162 (Rated for Div. 2), C, Segment tree (solo suma), Usado,
Educational Codeforces Round 162 (Rated for Div. 2), D, Segment tree (solo suma), Usado,
AtCoder Beginner Contest 343, F, Segment tree, Usado,
AtCoder Beginner Contest 343, G, Traveling salesman problem, , Codeado
Educational Codeforces Round 163 (Rated for Div. 2), G, Union find, , Usado
AtCoder Beginner Contest 346, F, Binary search inline, Usado,
Educational Codeforces Round 164 (Rated for Div. 2), D, Modular arithmetic, Usado,
Educational Codeforces Round 164 (Rated for Div. 2), E, presums, , Creado
BioCode 2024, H, Intersección de rombos, Deseado,
AtCoder Regular Contest 177, C, Grafo matriz, Usado,
AtCoder Regular Contest 177, D, Modular arithmetic, , Usado
AtCoder Regular Contest 177, D, Segment tree, , Usado
AtCoder Regular Contest 177, D, Compress, , Usado
Educational Codeforces Round 166 (Rated for Div. 2), E, Lazy segment tree, , Usado
Codeforces Round 955 (Div. 2), D, Sumas parciales 2D, Codeado,
Codeforces Round 955 (Div. 2), D, Modular arithmetic, Usado,
Codeforces Round 955 (Div. 2), F, Segment tree, , Usado
Educational Codeforces Round 168 (Rated for Div. 2), E, Segment tree, , Usado
Educational Codeforces Round 168 (Rated for Div. 2), F, Modular arithmetic, , Usado
Educational Codeforces Round 167 (Rated for Div. 2), E, Modular arithmetic, , Usado
Educational Codeforces Round 167 (Rated for Div. 2), F, offline_incremental_scc, , Creado (de internet)
Educational Codeforces Round 167 (Rated for Div. 2), F, Union find, , Usado
AtCoder Beginner Contest 365, E, Segment tree, Usado,
AtCoder Beginner Contest 365, F, Segment tree, , Usado
AtCoder Beginner Contest 365, F, Discrete intervals, , Codeados
Educational Codeforces Round 166 (Rated for Div. 2), D, RMQ, Usado,
AtCoder Beginner Contest 370, D, IntervalContainer, Usado,
AtCoder Beginner Contest 369, E, floydWarshall, Usado,
AtCoder Beginner Contest 369, F, Segment tree, Usado,
AtCoder Beginner Contest 369, G, HLD, Usado
Educational Codeforces Round 158 (Rated for Div. 2), D, RMQ, Usado,
